Species ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common names (Eng),Red List status,Population trend
56054,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Acanthixalus,sonjae,Ivory Coast Wart Frog,NT,decreasing
56055,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Acanthixalus,spinosus,,LC,unknown
55286,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Acris,crepitans,Northern Cricket Frog,LC,stable
55287,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Acris,gryllus,Southern Cricket Frog,LC,stable
57660,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICROHYLIDAE,Adelastes,hylonomos,,DD,unknown
56299,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Adelophryne,adiastola,,LC,stable
56300,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Adelophryne,baturitensis,,VU,decreasing
56301,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Adelophryne,gutturosa,Guiana Shield Frog,LC,stable
56302,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Adelophryne,maranguapensis,,EN,decreasing
56303,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Adelophryne,pachydactyla,,DD,unknown
158609,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Adelophryne,patamona,,DD,stable
520,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LIMNODYNASTIDAE,Adelotus,brevis,Tusked Frog,NT,decreasing
55179,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DENDROBATIDAE,Adelphobates,castaneoticus,,LC,stable
55185,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DENDROBATIDAE,Adelphobates,galactonotus,,LC,stable
55197,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DENDROBATIDAE,Adelphobates,quinquevittatus,,LC,stable
158471,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Adenomera,ajurauna,,DD,stable
56304,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Adenomera,andreae,,LC,stable
56305,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Adenomera,araucaria,,LC,stable
56306,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Adenomera,bokermanni,,LC,stable
164916,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Adenomera,coca,,DD,unknown
56307,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Adenomera,diptyx,,LC,stable
56308,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Adenomera,heyeri,,LC,stable
56309,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Adenomera,hylaedactyla,,LC,stable
56310,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Adenomera,lutzi,,DD,unknown
56311,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Adenomera,marmorata,,LC,stable
56312,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Adenomera,martinezi,,LC,stable
136001,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Adenomera,nanus,,LC,unknown
136182,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Adenomera,thomei,,LC,stable
54457,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Adenomus,dasi,,CR,decreasing
54458,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Adenomus,kandianus,,CR,unknown
54459,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Adenomus,kelaartii,,EN,decreasing
2664,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,HYNOBIIDAE,Afghanodon,mustersi,,CR,decreasing
596,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,aureus,Golden Banana Frog,LC,unknown
56056,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,brachycnemis,Lesser Banana Frog,LC,decreasing
56057,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,clarkei,Clarke's Banana Frog,EN,unknown
56058,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,crotalus,,LC,unknown
56059,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,delicatus,Pickersgill's Banana Frog,LC,unknown
56060,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,dorsalis,"Brown Banana Frog, Cameroon Banana Frog, Striped Spiny Reed Frog",LC,increasing
136149,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,dorsimaculatus,,VU,decreasing
56061,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,enseticola,Ethiopian Banana Frog,VU,stable
56062,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,equatorialis,Congo Banana Frog,LC,unknown
56063,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,fornasini,,LC,unknown
56064,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,fulvovittatus,Banded Banana Frog,LC,unknown
56065,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,knysnae,Knysna Banana Frog,EN,unknown
56066,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,lacteus,,EN,decreasing
56067,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,laevis,,LC,unknown
56068,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,leucostictus,,LC,unknown
56069,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,lindholmi,,DD,unknown
56070,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,morerei,,VU,decreasing
56071,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,nigeriensis,Nigeria Banana Frog,NT,stable
56072,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,orophilus,,VU,decreasing
56073,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,osorioi,"Angola Banana Frog, Congro Spiny Reed Frog, Osorio's Spiny Reed Frog",LC,increasing
56074,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,paradorsalis,,LC,unknown
