Species ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common names (Eng),Red List status,Population trend
154987,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SERRANIDAE,Acanthistius,brasilianus,"Argentine Seabass, Sea Bass",DD,unknown
155326,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SERRANIDAE,Acanthistius,ocellatus,Eastern Wirrah,LC,unknown
183895,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SERRANIDAE,Acanthistius,pictus,Peruvian Seabass,LC,unknown
170331,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SCOMBRIDAE,Acanthocybium,solandri,"Barracuda, Kingfish, Mackerel, Queen-fish, Wahoo, Wahoo Fish",LC,stable
186106,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Acantholabrus,palloni,Scale-rayed Wrasse,LC,unknown
177960,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,achilles,"Achilles Tang, Redspot Surgeonfish, Red-spotted Surgeonfish, Redtail Surgeonfish",LC,stable
178007,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,albipectoralis,Whitefin Surgeonfish,LC,unknown
177974,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,auranticavus,"Orange-socket Surgeonfish, Ring-tail Surgeon",LC,unknown
177985,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,bahianus,"Barber, Doctorfish, Grey Doctorfish, Ocean Surgeon, Ocean Surgeonfish, Ocean Tang, Ringtail, Shitty Trooper",LC,stable
177978,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,bariene,"Bariene Surgeonfish, Black-spot Surgeonfish, Eye-spot Surgeon, Roundspot Surgeonfish",LC,unknown
177971,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,blochii,"Blue-banded Pualu, Dark Surgeon, Ringtail Surgeonfish, Tailring Surgeonfish, Whitetail Lancet",LC,stable
177982,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,chirurgus,"Black Doctorfish, Doctorfish",LC,stable
177966,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,chronixis,"Chronixis Surgeonfish, Kapingamarangi Surgeonfish, Mimic Surgeonfish",VU,unknown
177953,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,coeruleus,"Blue Barber, Blue Doctor, Blue Doctorfish, Blue Tang, Blue Tang Surgeonfish, Yellow Barber, Yellow Doctorfish",LC,stable
177981,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,dussumieri,"Dussumier's Surgeonfish, Eyestripe Surgeonfish, Hawaiian Surgeonfish, Ornate Surgeonfish, Palani, Penciled Surgeonfish, Pencilled Surgeon, Pencilled Surgeonfish",LC,unknown
177959,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,fowleri,"Fowler's Surgeonfish, Horseshoe Surgeonfish",LC,unknown
154818,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,gahhm,Black Surgeonfish,LC,unknown
178006,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,grammoptilus,"Finelined Surgeonfish, Ring-tailed Surgeonfish",LC,unknown
177995,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,guttatus,"Mustard Surgeonfish, Mustard Tang, Spotband Surgeonfish, Spotted Surgeonfish, Spotted Tang, Whitespotted Surgeonfish",LC,unknown
177977,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,japonicus,"Japanese Surgeonfish, Powder Black Surgeon, White-nose Surgeonfish",LC,unknown
177994,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,leucocheilus,"Palelipped Surgeonfish, White-spine Surgeon",LC,unknown
178011,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,leucopareius,"Head-band Surgeonfish, Whitebar Surgeonfish",LC,stable
178000,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,leucosternon,"Blue Surgeonfish, Powderblue Surgeonfish, Powder Blue Surgeonfish, Powder-blue Tang, Powder Blue Tang",LC,unknown
177993,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,lineatus,"Blue Banded Surgeonfish, Blue-lined Surgeonfish, Clown Surgeonfish, Lined Surgeonfish, Striped Surgeon, Striped Surgeonfish, Zebra Surgeonfish",LC,stable
177957,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,maculiceps,"Earbar Surgeonfish, Pale-lined Surgeonfish, Spotted-face Surgeonfish, White-freckled Surgeonfish, Yellow-freckled Surgeonfish",LC,unknown
177967,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,mata,"Bleeker's Surgeonfish, Blue-lined Surgeonfish, Elongate Surgeonfish, Mata Surgeonfish, Pale Surgeon, Striped Surgeonfish, White-tail Lancet, Yellowmask Surgeonfish",LC,stable
178023,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,monroviae,Monrovia Surgeonfish,LC,unknown
177969,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,nigricans,"Blackear Surgeonfish, Black Surgeonfish, GoldenRim Surgeonfish, Gold-rim Tang, Gray Surgeonfish, Velvet Surgeonfish, White-cheeked surgeonfish, Whiteface Surgeonfish, Whitetail Surgeonfish, Yellowrimmed Surgeonfish, Yellow Spotted Surgeonfish",LC,stable
178017,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,nigricauda,"Black-barred Surgeonfish, Blackstreak Surgeonfish, Epaulette Surgeonfish, Shoulderbar Surgeonfish, White-tail Surgeonfish",LC,stable
178019,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,nigrofuscus,"Blackspot Surgeonfish, Brown Surgeonfish, Dusky Surgeonfish, Lavender Tang, Spot-cheeked Surgeonfish",LC,stable
177999,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,nigroris,Bluelined Surgeonfish,LC,stable
177961,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,nubilus,"Bluelined Surgeonfish, Dropoff Surgeonfish, Pin-striped Surgeon",LC,unknown
177991,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,olivaceus,"Gendarme Fish, Olive Surgeonfish, Orange band Surgeonfish, Orangeband Surgeonfish, Orangebar Surgeonfish, Orange-blotch Surgeon, Orange-ear Surgeonfish, Orange-epaulette Surgeonfish, Orange Epoulette Surgeon, Orangespot Surgeonfish, Orange Spot Tang",LC,stable
177984,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,polyzona,"Black-barred Surgeonfish, Multibar Surgeonfish",DD,unknown
178022,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,pyroferus,"Chocolate Surgeonfish, Mimic Surgeonfish, Orange-gilled Surgeonfish, Pacific Mimic Surgeon, Yellowspot Surgeon",LC,stable
177976,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,reversus,Marquesan Surgeonfish,LC,stable
177987,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,sohal,"Red Sea Clown Surgeon, Red Sea Surgeonfish, Sohal Surgeonfish",LC,stable
177997,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,tennentii,"Doubleband Surgeonfish, Lieutenant Surgeonfish",LC,stable
178008,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,thompsoni,"Chocolate Surgeonfish, Night Surgeonfish, Thompson's Surgeonfish, Thompson's Tang, Whitetail Surgeonfish",LC,stable
177965,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,triostegus,"Convict Surgeonfish, Convict Tang, Fiveband Surgeonfish",LC,stable
177998,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,tristis,"Blackcheek Surgeonfish, Indian Ocean Mimic Surgeonfish, Yellowspot Surgeonfish",LC,stable
