Species ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common names (Eng),Red List status,Population trend
42641,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Abditomys,latidens,Luzon Broad-toothed Rat,DD,unknown
17879,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Abeomelomys,sevia,"Menzies' Mouse, Highland Brush Mouse",LC,unknown
16,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Abrawayaomys,ruschii,Rushi's Rat,LC,unknown
42656,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ABROCOMIDAE,Abrocoma,bennettii,Bennett's Chinchilla Rat,LC,unknown
18,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ABROCOMIDAE,Abrocoma,boliviensis,"Bolivian Chinchilla Rat, Bolivian Chincilla Rat",CR,decreasing
136334,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ABROCOMIDAE,Abrocoma,budini,Budin's Chinchilla Rat,DD,unknown
42657,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ABROCOMIDAE,Abrocoma,cinerea,Ashy Chinchilla Rat,LC,stable
136367,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ABROCOMIDAE,Abrocoma,famatina,Famatina Chinchilla Rat,DD,unknown
136525,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ABROCOMIDAE,Abrocoma,shistacea,Sierra Del Tontal Chinchilla Rat,DD,unknown
136302,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ABROCOMIDAE,Abrocoma,uspallata,Uspallata Chinchilla Rat,DD,unknown
136546,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ABROCOMIDAE,Abrocoma,vaccarum,Mendozan Chinchilla Rat,DD,unknown
4803,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Abrothrix,andinus,"Andean Akodont, Andean Altiplano Mouse",LC,unknown
734,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Abrothrix,hershkovitzi,"Hershkovitz's Akodont, Hershkovitz's Grass Mouse",LC,stable
735,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Abrothrix,illuteus,"Gray Akodont, Gray Grass Mouse",NT,decreasing
4804,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Abrothrix,jelskii,Jelski's Altiplano Mouse,LC,stable
740,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Abrothrix,lanosus,"Woolly Grass Mouse, Wooly Akodont",LC,stable
743,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Abrothrix,longipilis,"Long-haired Akodont, Long-haired Grass Mouse",LC,decreasing
