Species ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Authority,Infraspecific rank,Infraspecific name,Infraspecific authority,Stock/subpopulation,Synonyms,Common names (Eng),Common names (Fre),Common names (Spa),Red List status,Red List criteria,Red List criteria version,Year assessed,Population trend,Petitioned
183483,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACENTRIDAE,Abudefduf,concolor,"(Gill, 1862)",,,,,Euschistodus concolor  |Pomacentrus robustus  ,"Dusky seargent, Night sergeant",Chauffet de nuit,"Petaca rebozada, Tono",LC,,3.1,2010,unknown,N
183460,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACENTRIDAE,Abudefduf,declivifrons,"(Gill, 1862)",,,,,Euschistodus declivifrons  ,Mexican night sergeant,,Petaca mexicana,LC,,3.1,2010,unknown,N
183397,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACENTRIDAE,Abudefduf,troschelii,"(Gill, 1862)",,,,,Glyphidodon troschelii  ,Panama sergeant major,Chauffet tono,"CastaÒeta manchada, Petaca banderita, Petaca chopa, Pintano, Sargento mayor",LC,,3.1,2010,unknown,N
154987,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SERRANIDAE,Acanthistius,brasilianus,"(Cuvier, 1828)",,,,,Plectropoma brasilianum  |Plectropoma patachonica  ,"Argentine Seabass, Sea Bass",Serran Argentin,"Mero, Mero SureÒo",DD,,3.1,2010,unknown,N
155326,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SERRANIDAE,Acanthistius,ocellatus,"(G¸nther, 1859)",,,,,Plectropoma cyanostigma  |Plectropoma myriaster  |Plectropoma ocellatum  ,Eastern Wirrah,,,LC,,3.1,2010,unknown,N
183895,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SERRANIDAE,Acanthistius,pictus,(Tschudi 1846),,,,,Plectropoma pictum  ,Peruvian Seabass,,Vieja colorada,LC,,3.1,2010,unknown,N
170331,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SCOMBRIDAE,Acanthocybium,solandri,"(Cuvier, 1832)",,,,,Acanthocybium forbesi  |Acanthocybium forbesi  |Acanthocybium solanderi  |Cybium petus  |Cybium petus  |Cybium sara  |Cybium sara  |Cybium solandri  |Cybium solandri  |Cybium verany  |Cybium verany  |Scomber amarui  |Scomber amarui  ,"Wahoo, Mackerel, Queen-fish, Barracuda, Wahoo Fish, Kingfish","Thazard Noir, Poisson BÈcune, Thazard-b‚tard, Thazard RaitÈ, Thon Banane","Guaho, Guatapan·, Peje Sierra, Peto, Sierra Canalera",LC,,3.1,2011,stable,N
186106,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Acantholabrus,palloni,"(Risso, 1810)",,,,,Acantholabrus couchii  |Acantholabrus imbricatus  |Crenilabrus luscus  |Labrus luscus  |Labrus pallidus  ,Scale-rayed Wrasse,Roucaou,"Tabernero de Profundidad, Tae Rocas, Tordo de Fondo",LC,,3.1,2010,unknown,N
177960,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,achilles,"Shaw, 1803",,,,,Acanthurus achillas  |Acanthurus aterrimus  |Hepatus achilles  |Hepatus aterrimus  |Teuthis achilles  |Teuthis aterrimus  ,"Achilles Tang, Red-spotted Surgeonfish, Redtail Surgeonfish, Redspot Surgeonfish","Chirurgien ‡ Tache Rouge, Chiurgien d'Achille","Cirujano, Cirujano Encendido, NavajÛn de Aguiles",LC,,3.1,2012,stable,N
178007,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,albipectoralis,"Allen & Ayling, 1987",,,,,,Whitefin Surgeonfish,,,LC,,3.1,2012,unknown,N
177974,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,auranticavus,"Randall, 1956",,,,,,"Orange-socket Surgeonfish, Ring-tail Surgeon",,,LC,,3.1,2012,unknown,N
177985,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,bahianus,"Castelnau, 1855",,,,,Acanthurus randalli  |Acanthurus tractus  |Acronurus nigriculus  ,"Ocean Surgeon, Grey Doctorfish, Barber, Ocean Surgeonfish, Ocean Tang, Ringtail, Shitty Trooper, Doctorfish",Chirurgien Marron,"Barbero, Cirujano, Cirujano pardo, Doctor, MÈdico, Navajero, NavajÛn, NavajÛn Pardo, Sangrador, Sangrador Lucio",LC,,3.1,2012,stable,N
177978,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,bariene,"Lesson, 1831",,,,,Acanthurus kingii  |Acanthurus nummifer  ,"Roundspot Surgeonfish, Eye-spot Surgeon, Black-spot Surgeonfish, Bariene Surgeonfish",,,LC,,3.1,2012,unknown,N
177971,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,blochii,"Valenciennes, 1835",,,,,,"Ringtail Surgeonfish, Blue-banded Pualu, Dark Surgeon, Tailring Surgeonfish, Whitetail Lancet",,,LC,,3.1,2012,stable,N
177982,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,chirurgus,"(Bloch, 1787)",,,,,Acanthurus phlebotomus  |Chaetodon chirurgus  ,"Doctorfish, Black Doctorfish",Chirurgien Docteur,"Gallinazo, Barbero rayado, Cirujano, Cirujano rayado, Doctor, Navajero, NavajÛn, NavajÛn cirujano, NavajÛn rayado, Sangrador com˙n, Sangrador rayado",LC,,3.1,2012,stable,N
177966,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,chronixis,"Randall, 1960",,,,,,"Kapingamarangi Surgeonfish, Chronixis Surgeonfish, Mimic Surgeonfish",,,VU,D2,3.1,2012,unknown,N
177953,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,coeruleus,"Bloch & Schneider, 1801",,,,,Acanthurus brevis  |Acanthurus broussonnetii  |Acanthurus caeruleus  |Acanthurus coerulus  |Acanthurus heliodes  |Acanthurus nigricans  |Acanthurus violaceus  |Acronurus caeruleatus  |Hepatus caeruleus  |Hepatus pawnee  |Teuthis coeruleus  |Teuthis helioides  ,"Blue Tang, Blue Doctorfish, Blue Barber, Blue Tang Surgeonfish, Yellow Barber, Yellow Doctorfish, Blue Doctor","Chirurgien Bayolle, Chirurgien Bleu","Barbero, Barbero azul, Cirujano, Cirujano azul, Doctor, MÈdico, Navajero, NavajÛn, NavajÛn Azul, Sangrador Azul",LC,,3.1,2012,stable,N
