Species ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Authority,Infraspecific rank,Infraspecific name,Infraspecific authority,Stock/subpopulation,Synonyms,Common names (Eng),Common names (Fre),Common names (Spa),Red List status,Red List criteria,Red List criteria version,Year assessed,Population trend,Petitioned
164607,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,SCINCIDAE,Ablepharus,bivittatus,"(Menetries, 1832)",,,,,Scincus bivittatus,"Two-streaked Snake-eyed Skink, Twin-striped Skink",,,LC,,3.1,2009,decreasing,N
61450,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,SCINCIDAE,Ablepharus,budaki,"GˆÁmen, Kumlutas & Tosunoglu, 1996",,,,,Ablepharus kitaibellii subspecies budaki,,,,LC,,3.1,2009,stable,N
164622,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,SCINCIDAE,Ablepharus,chernovi,"Darevsky, 1953",,,,,,"Chernov's Skink, Chernov's Snake-Eyed Skink",,,LC,,3.1,2009,stable,N
178546,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,SCINCIDAE,Ablepharus,deserti,"Strauch, 1868",,,,,Ablepharus tenuis  |Ablepharus turkestanicus  ,Desert Lidless Skink,,,LC,,3.1,2010,unknown,N
29691,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,SCINCIDAE,Ablepharus,kitaibelii,"Bibron & Bory, 1833",,,,,,"European Copper Skink, Snake-eyed Skink",Ablephare De Kitaibel,,LC,,3.1,2009,stable,N
61451,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,SCINCIDAE,Ablepharus,rueppellii,"(Gray, 1839)",,,,,Ablepharus kitaibellii subspecies rueppellii,,,,LC,,3.1,2006,unknown,N
203012,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Abronia,anzuetoi,"Campbell & Frost, 1993",,,,,,Anzuetoi Arboreal Alligator Lizard,,,VU,D2,3.1,2014,unknown,N
203013,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Abronia,aurita,"(Cope, 1869)",,,,,Gerrhonotus auritus  ,Cope's Arboreal Alligator Lizard ,,,EN,B1ab(iii),3.1,2013,unknown,N
63674,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Abronia,bogerti,"Tihen, 1954",,,,,,Bogert's Arboreal Alligator Lizard,,,DD,,3.1,2007,unknown,N
203014,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Abronia,campbelli,"Brodie & Savage, 1993",,,,,,Campbell's Alligator Lizard,,,CR,"B1ab(iii,v)",3.1,2013,decreasing,N
63675,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Abronia,chiszari,"Smith & Smith, 1981",,,,,,Chiszar's Arboreal Alligator Lizard,,,EN,B1ab(iii),3.1,2007,decreasing,N
63676,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Abronia,deppii,"(Wiegmann, 1828)",,,,,Gerrhonotus deppii  ,,,,EN,B1ab(iii),3.1,2007,decreasing,N
203015,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Abronia,fimbriata,"(Cope, 1884)",,,,,Barissia fimbriata  ,,,,EN,B1ab(iii),3.1,2014,unknown,N
29479,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Abronia,frosti,"Campbell, Sasa, Aceevedo & Mendelson, 1998",,,,,,Frost's Arboreal Alligator Lizard,,,CR,B1ab(iii),3.1,2013,decreasing,N
63677,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Abronia,fuscolabialis,"(Tihen, 1944)",,,,,Abronia kalaina  |Gerrhonotus fuscolabialis  ,Mount Zempoaltepec Alligator Lizard,,,EN,B1ab(iii),3.1,2007,decreasing,N
203016,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Abronia,gaiophantasma,"Campbell & Frost, 1993",,,,,,Brilliant Arboreal Alligator Lizard,,,EN,B1ab(iii),3.1,2014,unknown,N
63678,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Abronia,graminea,"(Cope, 1864)",,,,,Gerrhonotus gramineus  ,Terrestrial Arboreal Alligator Lizard,,,EN,B1ab(iii),3.1,2007,decreasing,N
63679,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Abronia,leurolepis,"Campbell & Frost, 1993",,,,,,Smoothback Arboreal Alligator Lizard,,,DD,,3.1,2007,unknown,N
63680,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Abronia,lythrochila,"Smith & Alvarez del Toro, 1963",,,,,,Red-lipped Arboreal Alligator Lizard,,,LC,,3.1,2007,stable,N
63681,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Abronia,martindelcampoi,"Flores & S·nchez, 2003",,,,,,,,,EN,B1ab(iii),3.1,2007,decreasing,N
63682,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Abronia,matudai,"(Hartweg & Tihen, 1946)",,,,,Gerrhonotus matudae  ,Matuda's Arboreal Alligator Lizard,,,EN,B1ab(iii),3.1,2013,unknown,N
203017,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Abronia,meledona,"Campbell & Brodie, 1999",,,,,,,,,EN,B1ab(iii),3.1,2013,unknown,N
63683,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Abronia,mitchelli,"Campbell, 1982",,,,,,Mitchell's Arboreal Alligator Lizard,,,DD,,3.1,2007,unknown,N
63684,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Abronia,mixteca,"Bogert & Porter, 1967",,,,,,Mixtecan Arboreal Alligator Lizard,,,VU,A2cd+4cd; B1ab(iii),3.1,2007,decreasing,N
20,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Abronia,montecristoi,"Hidalgo, 1983",,,,,,MonteCristo Arboreal Alligator Lizard,,,EN,B1ab(iii),3.1,2013,decreasing,N
63685,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Abronia,oaxacae,"(G¸nther, 1885)",,,,,Gerrhonotus oaxacae  ,Oaxaca Arboreal Alligator Lizard,,,VU,B1ab(iii),3.1,2007,decreasing,N
63686,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Abronia,ochoterenai,"(Martin del Campo, 1939)",,,,,Gerrhonotus vasconcelosii subspecies ochoterenai,Northern Chiapas Arboreal Alligator Lizard,,,DD,,3.1,2013,unknown,N
63687,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Abronia,ornelasi,"Campbell, 1984",,,,,,Cerro Baul Alligator Lizard,,,DD,,3.1,2007,unknown,N
63688,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Abronia,ramirezi,"Campbell, 1994",,,,,,Ramirez's Alligator Lizard,,,DD,,3.1,2007,unknown,N
63689,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Abronia,reidi,"Werler & Shannon, 1961",,,,,,Reid's Arboreal Alligator Lizard,,,DD,,3.1,2007,unknown,N
203018,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Abronia,salvadorensis,"Hidalgo, 1983",,,,,,Salvador Arboreal Alligator Lizard,,,EN,B1ab(iii),3.1,2013,decreasing,N
63690,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Abronia,smithi,"Campbell & Frost, 1993",,,,,,Smith's Arboreal Alligator Lizard,,,LC,,3.1,2007,stable,N
63691,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Abronia,taeniata,"(Wiegmann, 1828)",,,,,Gerrhonotus taeniatus  ,Bromeliad Arboreal Alligator Lizard,,,VU,B1ab(iii),3.1,2007,decreasing,N
203019,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Abronia,vasconcelosii,"(Bocourt, 1871)",,,,,Gerrhonotus vasconcelosii  ,,,,VU,B1ab(iii),3.1,2013,decreasing,N
176756,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ELAPIDAE,Acalyptophis,peronii,"(DumÈril, 1853)",,,,,Acalyptus peronii  ,"Horned Sea Snake, Peron's Sea Snake, Spiny-headed Seasnake",Acalypte De Peron,,LC,,3.1,2010,stable,N
199598,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,AGAMIDAE,Acanthocercus,adramitanus,"(Anderson, 1896)",,,,,Agama adramitana  ,Anderson's Rock Agama,,,LC,,3.1,2012,stable,N
170363,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,AGAMIDAE,Acanthocercus,annectens,"(Blanford, 1870)",,,,,Agama annectans  |Agama annectens  |Agama cyanogaster subspecies annectens|Stellio annectens  ,"Eritrean Rock Agama, Eritrean Ridgeback Agama",,,LC,,3.1,2010,unknown,N
170364,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,AGAMIDAE,Acanthocercus,atricollis,"(Smith, 1849)",,,,,Agama atricollis  |Laudakia atricollis  |Stellio atricollis  ,"Black-necked Agama, Blue-throated Agama, Blue-headed Tree Agama, Southern Tree Agama",,,LC,,3.1,2010,stable,N
170365,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,AGAMIDAE,Acanthocercus,cyanogaster,"(R¸ppell, 1835)",,,,,Agama cyanogaster  |Agama cyanogastra  |Stellio cyanogaster  ,"Black-necked Tree Agama, Blue-bellied Ridgeback Agama",,,LC,,3.1,2010,unknown,N
199599,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,AGAMIDAE,Acanthocercus,yemensis,"(Klausewitz, 1954)",,,,,Agama cyanogaster subspecies yemensis,,,,LC,,3.1,2012,stable,N
74,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,CHELIDAE,Acanthochelys,macrocephala,"(Rhodin, Mittermeier & McMorris, 1984)",,,,,Acanthochelys chacoensis  |Phrynops chacoensis  |Platemys macrocephala  ,"Big-Headed Pantanal Swamp Turtle, Pantanal Swamp Turtle",,,LR/nt,,2.3,1996,,N
75,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,CHELIDAE,Acanthochelys,pallidipectoris,"(Freiberg, 1945)",,,,,Platemys pallidipectoris  ,"Chaco Side-necked Turtle, Chaco Sideneck Turtle",,,VU,"A1c, D1",2.3,1996,,N
78,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,CHELIDAE,Acanthochelys,radiolata,"(Mikan, 1820)",,,,,Emys radiolata  |Platemys gaudichaudii  |Platemys radiolata subspecies quadrisquamosa|Platemys werneri  ,Brazilian Radiolated Swamp Turtle,,,LR/nt,,2.3,1996,,N
76,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,CHELIDAE,Acanthochelys,spixii,"(DumÈril & Bibron, 1835)",,,,,Emys depressa  |Platemys spixii  ,"Black Spine-necked Swamp Turtle, Spiny-necked Turtle, Spix's Sideneck Turtle",,,LR/nt,,2.3,1996,,N
61452,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Acanthodactylus,ahmaddisii,"Werner, 2004",,,,,,,,,EN,"B1b(i,ii,iii)c(iv)",3.1,2006,decreasing,N
177908,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Acanthodactylus,arabicus,"Boulenger, 1918",,,,,Acanthodactylus cantoris subspecies arabicus,Arabian Fringe-fingered Lizard,,,LC,,3.1,2012,stable,N
61453,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Acanthodactylus,bedriagai,"Lataste, 1881",,,,,,Bedriaga's Fringe-fingered Lizard,,,NT,,3.1,2006,unknown,N
61454,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Acanthodactylus,beershebensis,"Moravec, Baha El Din, Seligmann, Sivan & Werner, 1999",,,,,,Be'er Sheva Fringe-fingered Lizard,,,CR,A2c; B2ab(iii),3.1,2006,decreasing,N
61455,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Acanthodactylus,blanci,"Doumergue, 1901",,,,,,Blanc's Fringe-toed Lizard,,,EN,B1ab(iii),3.1,2006,decreasing,N
13151858,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Acanthodactylus,boueti,"Chabanaud, 1917",,,,,,Chabanaud's Fringe-fingered Lizard,,,DD,,3.1,2013,unknown,N
178569,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Acanthodactylus,busacki,"Salvador, 1982",,,,,,Busack's Fringe-fingered Lizard,,,LC,,3.1,2010,stable,N
61456,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Acanthodactylus,erythrurus,"(Schinz, 1833)",,,,,Acanthodactylus lineomaculatus  |Acanthodactylus lineomaculatus  ,Spiny-footed Lizard,,"Lagartija Colirroja, Lagartija Colirroja",LC,,3.1,2009,stable,N
199610,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Acanthodactylus,felicis,"Arnold, 1980",,,,,,,,,VU,B1ab(iii),3.1,2012,unknown,N
199609,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Acanthodactylus,gongrorhynchatus,"Leviton & Anderson, 1967",,,,,,,,,DD,,3.1,2012,unknown,N
164590,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Acanthodactylus,grandis,"Boulenger, 1909",,,,,,Giant Fringe-toed Lizard,,,LC,,3.1,2012,stable,N
178437,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Acanthodactylus,haasi,"Leviton & Anderson, 1967",,,,,,Haas' Fringe-fingered Lizard,,,LC,,3.1,2012,unknown,N
