order,family_name,family,common_name,scientific_name,taxonomy,red_list_cat,
STRUTHIONIFORMES,Struthionidae,Ostriches,Common Ostrich,Struthio camelus,R,LC,
STRUTHIONIFORMES,Struthionidae,Ostriches,Somali Ostrich,Struthio molybdophanes,R,VU,
STRUTHIONIFORMES,Struthionidae,Ostriches,,Struthio camelus,NR,NR,
STRUTHIONIFORMES,Rheidae,Rheas,,Pterocnemia tarapacensis,NR,NR,
STRUTHIONIFORMES,Rheidae,Rheas,Greater Rhea,Rhea americana,R,NT,
STRUTHIONIFORMES,Rheidae,Rheas,Lesser Rhea,Rhea pennata,R,LC,
STRUTHIONIFORMES,Rheidae,Rheas,Puna Rhea,Rhea tarapacensis,R,NT,
STRUTHIONIFORMES,Rheidae,Rheas,,Rhea nana,NR,NR,
STRUTHIONIFORMES,Rheidae,Rheas,,Rhea pennata,NR,NR,
STRUTHIONIFORMES,Tinamidae,Tinamous,Tawny-breasted Tinamou,Nothocercus julius,R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Highland Tinamou,Nothocercus bonapartei,R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Hooded Tinamou,Nothocercus nigrocapillus,R,VU,
STRUTHIONIFORMES,Tinamidae,Tinamous,Grey Tinamou,Tinamus tao,R,VU,
STRUTHIONIFORMES,Tinamidae,Tinamous,Solitary Tinamou,Tinamus solitarius,R,NT,
STRUTHIONIFORMES,Tinamidae,Tinamous,Black Tinamou,Tinamus osgoodi,R,VU,
STRUTHIONIFORMES,Tinamidae,Tinamous,Great Tinamou,Tinamus major,R,NT,
STRUTHIONIFORMES,Tinamidae,Tinamous,White-throated Tinamou,Tinamus guttatus,R,NT,
STRUTHIONIFORMES,Tinamidae,Tinamous,Berlepsch's Tinamou,Crypturellus berlepschi,R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Cinereous Tinamou,Crypturellus cinereus,R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Tepui Tinamou,Crypturellus ptaritepui,R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Little Tinamou,Crypturellus soui,R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Brown Tinamou,Crypturellus obsoletus,R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Undulated Tinamou,Crypturellus undulatus,R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Brazilian Tinamou,Crypturellus strigulosus,R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Grey-legged Tinamou,Crypturellus duidae,R,NT,
STRUTHIONIFORMES,Tinamidae,Tinamous,Red-legged Tinamou,Crypturellus erythropus,R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Yellow-legged Tinamou,Crypturellus noctivagus,R,NT,
STRUTHIONIFORMES,Tinamidae,Tinamous,Black-capped Tinamou,Crypturellus atrocapillus,R,NT,
STRUTHIONIFORMES,Tinamidae,Tinamous,Western Thicket Tinamou,Crypturellus occidentalis,R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Eastern Thicket Tinamou,Crypturellus cinnamomeus,R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Pale-browed Tinamou,Crypturellus transfasciatus,R,NT,
STRUTHIONIFORMES,Tinamidae,Tinamous,Slaty-breasted Tinamou,Crypturellus boucardi,R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Choco Tinamou,Crypturellus kerriae,R,VU,
STRUTHIONIFORMES,Tinamidae,Tinamous,Variegated Tinamou,Crypturellus variegatus,R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Rusty Tinamou,Crypturellus brevirostris,R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Bartlett's Tinamou,Crypturellus bartletti,R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Barred Tinamou,Crypturellus casiquiare,R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Small-billed Tinamou,Crypturellus parvirostris,R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Tataupa Tinamou,Crypturellus tataupa,R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,,Crypturellus saltuarius,NR,NR,
STRUTHIONIFORMES,Tinamidae,Tinamous,,Crypturellus columbianus,NR,NR,
STRUTHIONIFORMES,Tinamidae,Tinamous,,Crypturellus erythropus,NR,NR,
STRUTHIONIFORMES,Tinamidae,Tinamous,,Crypturellus idoneus,NR,NR,
STRUTHIONIFORMES,Tinamidae,Tinamous,,Crypturellus cinnamomeus,NR,NR,
STRUTHIONIFORMES,Tinamidae,Tinamous,Red-winged Tinamou,Rhynchotus rufescens,R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Huayco Tinamou,Rhynchotus maculicollis,R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,,Rhynchotus rufescens,NR,NR,
STRUTHIONIFORMES,Tinamidae,Tinamous,Taczanowski's Tinamou,Nothoprocta taczanowskii,R,VU,
STRUTHIONIFORMES,Tinamidae,Tinamous,Ornate Tinamou,Nothoprocta ornata,R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Chilean Tinamou,Nothoprocta perdicaria,R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Brushland Tinamou,Nothoprocta cinerascens,R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Andean Tinamou,Nothoprocta pentlandii,R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Curve-billed Tinamou,Nothoprocta curvirostris,R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,,Nothoprocta kalinowskii,NR,NR,
STRUTHIONIFORMES,Tinamidae,Tinamous,White-bellied Nothura,Nothura boraquira,R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Lesser Nothura,Nothura minor,R,VU,
STRUTHIONIFORMES,Tinamidae,Tinamous,Darwin's Nothura,Nothura darwinii,R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Spotted Nothura,Nothura maculosa,R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Chaco Nothura,Nothura chacoensis,R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Dwarf Tinamou,Taoniscus nanus,R,VU,
STRUTHIONIFORMES,Tinamidae,Tinamous,Elegant Crested Tinamou,Eudromia elegans,R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Quebracho Crested Tinamou,Eudromia formosa,R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Puna Tinamou,Tinamotis pentlandii,R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Patagonian Tinamou,Tinamotis ingoufi,R,LC,
STRUTHIONIFORMES,Casuariidae,"Cassowaries, emus",Southern Cassowary,Casuarius casuarius,R,VU,
STRUTHIONIFORMES,Casuariidae,"Cassowaries, emus",Dwarf Cassowary,Casuarius bennetti,R,NT,
STRUTHIONIFORMES,Casuariidae,"Cassowaries, emus",Northern Cassowary,Casuarius unappendiculatus,R,VU,
STRUTHIONIFORMES,Casuariidae,"Cassowaries, emus",Common Emu,Dromaius novaehollandiae,R,LC,
STRUTHIONIFORMES,Casuariidae,"Cassowaries, emus",King Island Emu,Dromaius minor,R,EX,
STRUTHIONIFORMES,Casuariidae,"Cassowaries, emus",Kangaroo Island Emu,Dromaius baudinianus,R,EX,
STRUTHIONIFORMES,Casuariidae,"Cassowaries, emus",,Dromaius novaehollandiae,NR,NR,
STRUTHIONIFORMES,Apterygidae,Kiwis,Great Spotted Kiwi,Apteryx haastii,R,VU,
STRUTHIONIFORMES,Apterygidae,Kiwis,Little Spotted Kiwi,Apteryx owenii,R,NT,
STRUTHIONIFORMES,Apterygidae,Kiwis,Northern Brown Kiwi,Apteryx mantelli,R,EN,
STRUTHIONIFORMES,Apterygidae,Kiwis,Southern Brown Kiwi,Apteryx australis,R,VU,
STRUTHIONIFORMES,Apterygidae,Kiwis,Okarito Kiwi,Apteryx rowi,R,EN,
STRUTHIONIFORMES,Apterygidae,Kiwis,,Apteryx mantelli,NR,NR,
STRUTHIONIFORMES,Apterygidae,Kiwis,,Apteryx australis,NR,NR,
GALLIFORMES,Megapodiidae,Megapodes,Australian Brush-turkey,Alectura lathami,R,LC,
GALLIFORMES,Megapodiidae,Megapodes,Wattled Brush-turkey,Aepypodius arfakianus,R,LC,
GALLIFORMES,Megapodiidae,Megapodes,Waigeo Brush-turkey,Aepypodius bruijnii,R,EN,
GALLIFORMES,Megapodiidae,Megapodes,Red-billed Brush-turkey,Talegalla cuvieri,R,LC,
GALLIFORMES,Megapodiidae,Megapodes,Black-billed Brush-turkey,Talegalla fuscirostris,R,LC,
GALLIFORMES,Megapodiidae,Megapodes,Collared Brush-turkey,Talegalla jobiensis,R,LC,
GALLIFORMES,Megapodiidae,Megapodes,Malleefowl,Leipoa ocellata,R,VU,
GALLIFORMES,Megapodiidae,Megapodes,Maleo,Macrocephalon maleo,R,EN,
GALLIFORMES,Megapodiidae,Megapodes,Moluccan Scrubfowl,Eulipoa wallacei,R,VU,
GALLIFORMES,Megapodiidae,Megapodes,Nicobar Scrubfowl,Megapodius nicobariensis,R,VU,
GALLIFORMES,Megapodiidae,Megapodes,Philippine Scrubfowl,Megapodius cumingii,R,LC,
GALLIFORMES,Megapodiidae,Megapodes,Sula Scrubfowl,Megapodius bernsteinii,R,VU,
GALLIFORMES,Megapodiidae,Megapodes,Tanimbar Scrubfowl,Megapodius tenimberensis,R,NT,
GALLIFORMES,Megapodiidae,Megapodes,Vanuatu Scrubfowl,Megapodius layardi,R,VU,
GALLIFORMES,Megapodiidae,Megapodes,Micronesian Scrubfowl,Megapodius laperouse,R,EN,
GALLIFORMES,Megapodiidae,Megapodes,Tongan Scrubfowl,Megapodius pritchardii,R,EN,
GALLIFORMES,Megapodiidae,Megapodes,Dusky Scrubfowl,Megapodius freycinet,R,LC,
GALLIFORMES,Megapodiidae,Megapodes,Biak Scrubfowl,Megapodius geelvinkianus,R,VU,
GALLIFORMES,Megapodiidae,Megapodes,New Guinea Scrubfowl,Megapodius decollatus,R,LC,
GALLIFORMES,Megapodiidae,Megapodes,Melanesian Scrubfowl,Megapodius eremita,R,LC,
GALLIFORMES,Megapodiidae,Megapodes,Orange-footed Scrubfowl,Megapodius reinwardt,R,LC,
GALLIFORMES,Megapodiidae,Megapodes,,Megapodius reinwardt,NR,NR,
GALLIFORMES,Megapodiidae,Megapodes,,Megapodius forstenii,NR,NR,
GALLIFORMES,Megapodiidae,Megapodes,,Megapodius freycinet,NR,NR,
