id,order_id,name,created_at,updated_at,wikitext,image_name
335,40,Guans,2014-09-10 02:15:29.951249,2014-09-10 08:25:51.320581,"<div class=""intro""><b><em>Guan</em></b> is a surname.</div>",none
7,4,ACROBATIDAE,2014-09-09 21:48:01.041173,2014-09-10 08:11:09.257973,"<div class=""intro""><i><em>Acrobates</em></i><br>
<i><em>Distoechurus</em></i></div>",//upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Beutelmaus_brehm.png/220px-Beutelmaus_brehm.png
10,5,SCIURIDAE,2014-09-09 21:48:05.384717,2014-09-10 08:11:10.691156,"<div class=""intro"">and see text</div>",//upload.wikimedia.org/wikipedia/commons/thumb/6/68/Sciuridae.jpg/240px-Sciuridae.jpg
11,5,URSIDAE,2014-09-09 21:48:15.737269,2014-09-10 08:11:12.016682,"<div class=""intro""><b>Bears</b> are <em>Asia</em>.</div>",//upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Ursus_arctos_-_Norway.jpg/200px-Ursus_arctos_-_Norway.jpg
16,6,CERCOPITHECIDAE,2014-09-09 21:48:47.893629,2014-09-10 08:11:14.054258,"<div class=""intro""><em>Cercopithecinae</em> - 12 genera<br>
<em>Colobinae</em> - 10 genera</div>",//upload.wikimedia.org/wikipedia/commons/thumb/3/35/Olive_baboon_Ngorongoro.jpg/220px-Olive_baboon_Ngorongoro.jpg
21,7,FURIPTERIDAE,2014-09-09 21:49:12.611159,2014-09-10 08:11:15.964101,"<div class=""intro""><i><em>Amorphochilus</em></i><br>
<i><em>Furipterus</em></i></div>",//upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Furipterus_horrens.jpg/220px-Furipterus_horrens.jpg
25,10,DASYURIDAE,2014-09-09 21:49:24.362954,2014-09-10 08:11:17.166345,"<div class=""intro""><em>Dasyurinae</em></div>",//upload.wikimedia.org/wikipedia/commons/thumb/a/a7/SpottedQuoll_2005_SeanMcClean.jpg/200px-SpottedQuoll_2005_SeanMcClean.jpg
27,10,ANTILOCAPRIDAE,2014-09-09 21:49:30.827222,2014-09-10 08:11:17.83169,"<div class=""intro"">See text.</div>",//upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Pronghorn_antelope.jpg/280px-Pronghorn_antelope.jpg
30,10,AOTIDAE,2014-09-09 21:49:34.185475,2014-09-10 08:11:19.722263,"<div class=""intro""><em>see text</em></div>",//upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Panamanian_night_monkey.jpg/220px-Panamanian_night_monkey.jpg
36,10,CANIDAE,2014-09-09 21:50:43.293938,2014-09-10 08:11:22.981069,"<div class=""intro"">See text</div>",//upload.wikimedia.org/wikipedia/commons/thumb/0/06/Familia_Canidae.jpg/220px-Familia_Canidae.jpg
39,10,INDRIIDAE,2014-09-09 21:50:47.514071,2014-09-10 08:11:25.070355,"<div class=""intro""><i><em>Indri</em></i><br>
<i><em>Avahi</em></i><br>
<i><em>Propithecus</em></i></div>",//upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Indri_Indri.jpg/250px-Indri_Indri.jpg
43,10,EMBALLONURIDAE,2014-09-09 21:51:04.692911,2014-09-10 08:11:26.308284,"<div class=""intro"">See Text</div>",//upload.wikimedia.org/wikipedia/commons/6/66/Emballonura_semicaudata.jpg
47,10,ZIPHIIDAE,2014-09-09 21:51:21.71659,2014-09-10 08:11:27.669719,"<div class=""intro""><b>Beaked whales</b> are the members of the <em><span>[</span>2<span>]</span></em></sup></div>",//upload.wikimedia.org/wikipedia/commons/e/ed/Cuviers_beaked_whale-swfsc.jpg
50,12,BRADYPODIDAE,2014-09-09 21:51:46.373795,2014-09-10 08:11:29.057644,"<div class=""intro"">4, see <em>text</em></div>",//upload.wikimedia.org/wikipedia/commons/thumb/1/18/Bradypus.jpg/220px-Bradypus.jpg
52,13,DASYPODIDAE,2014-09-09 21:52:02.266914,2014-09-10 08:11:30.296194,"<div class=""intro"">See <em>text</em></div>",//upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Nine-banded_Armadillo.jpg/220px-Nine-banded_Armadillo.jpg
57,15,DIDELPHIDAE,2014-09-09 21:52:53.366747,2014-09-10 08:11:32.95652,"<div class=""intro"">Several; see <em>text</em></div>",//upload.wikimedia.org/wikipedia/commons/thumb/2/27/Opossum_2.jpg/220px-Opossum_2.jpg
59,15,SPALACIDAE,2014-09-09 21:53:00.697881,2014-09-10 08:11:34.00128,"<div class=""intro""><em>Spalacinae</em><br>
<em>Myospalacinae</em><br>
<em>Rhizomyinae</em></div>",//upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Lesser_bamboo_rat.jpg/250px-Lesser_bamboo_rat.jpg
63,15,CASTORIDAE,2014-09-09 21:53:24.495644,2014-09-10 08:11:35.634255,"<div class=""intro"">See text</div>",//upload.wikimedia.org/wikipedia/commons/thumb/7/77/Beaver.jpg/200px-Beaver.jpg
66,15,CEBIDAE,2014-09-09 21:53:30.129171,2014-09-10 08:11:37.636222,"<div class=""intro""><i><em>Cebus</em></i><br>
<i><em>Saimiri</em></i><br>
<i><em>Sapajus</em></i></div>",//upload.wikimedia.org/wikipedia/commons/thumb/4/40/Capuchin_Costa_Rica.jpg/220px-Capuchin_Costa_Rica.jpg
70,17,GLIRIDAE,2014-09-09 21:54:13.957051,2014-09-10 08:11:38.906472,"<div class=""intro""><em>Graphiurinae</em></div>",//upload.wikimedia.org/wikipedia/commons/thumb/4/43/Graphiurus_spec_-murinus-1.jpg/220px-Graphiurus_spec_-murinus-1.jpg
76,17,HIPPOPOTAMIDAE,2014-09-09 21:55:11.487866,2014-09-10 08:11:41.213853,"<div class=""intro"">†<i><em>Trilobophorous</em></i> <small>Geze, 1985</small><br>
<br></div>",//upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Hippo_pod_edit.jpg/250px-Hippo_pod_edit.jpg
