id,family_id,name,created_at,updated_at,wikitext,image_name
1,1,Abditomys,2014-09-09 21:47:35.771996,2014-09-10 04:56:11.555119,,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Status_iucn3.1_blank.svg/220px-Status_iucn3.1_blank.svg.png
2,1,Abeomelomys,2014-09-09 21:47:36.734394,2014-09-10 04:56:11.581202,,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Status_iucn3.1_LC.svg/220px-Status_iucn3.1_LC.svg.png
3,2,Abrawayaomys,2014-09-09 21:47:37.182465,2014-09-10 04:56:11.601883,,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Status_iucn3.1_LC.svg/220px-Status_iucn3.1_LC.svg.png
4,3,Abrocoma,2014-09-09 21:47:38.205423,2014-09-10 04:56:11.622405,,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Status_iucn3.1_LC.svg/220px-Status_iucn3.1_LC.svg.png
5,3,Abrothrix,2014-09-09 21:47:42.134737,2014-09-10 04:56:11.643514,,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Status_iucn3.1_LC.svg/220px-Status_iucn3.1_LC.svg.png
6,4,Acerodon,2014-09-09 21:47:46.733427,2014-09-10 04:56:11.664514,,http://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Status_iucn3.1_VU.svg/220px-Status_iucn3.1_VU.svg.png
7,5,Acinonyx,2014-09-09 21:47:49.952144,2014-09-10 04:56:11.685805,,http://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Cheetah_Kruger.jpg/220px-Cheetah_Kruger.jpg
8,5,Acomys,2014-09-09 21:47:50.636557,2014-09-10 04:56:11.706829,,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Status_iucn3.1_blank.svg/220px-Status_iucn3.1_blank.svg.png
9,6,Aconaemys,2014-09-09 21:47:59.659988,2014-09-10 04:56:11.739195,,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Status_iucn3.1_blank.svg/220px-Status_iucn3.1_blank.svg.png
10,7,Acrobates,2014-09-09 21:48:01.045004,2014-09-10 04:56:11.76247,,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Beutelmaus_brehm.png/220px-Beutelmaus_brehm.png
11,8,Addax,2014-09-09 21:48:01.473114,2014-09-10 04:56:11.783296,,http://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/DishonMikrai002.jpg/220px-DishonMikrai002.jpg
12,8,Aegialomys,2014-09-09 21:48:02.000292,2014-09-10 04:56:11.803476,,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Galapagos_Rice-Rat.jpg/250px-Galapagos_Rice-Rat.jpg
13,8,Aepeomys,2014-09-09 21:48:03.160133,2014-09-10 04:56:11.825057,,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Status_iucn3.1_LC.svg/220px-Status_iucn3.1_LC.svg.png
14,8,Aepyceros,2014-09-09 21:48:04.029451,2014-09-10 04:56:11.845896,,http://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Female_impala.jpg/220px-Female_impala.jpg
15,9,Aepyprymnus,2014-09-09 21:48:04.661099,2014-09-10 04:56:11.867273,,http://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Rufous_getting_into_pouch.JPG/220px-Rufous_getting_into_pouch.JPG
16,10,Aeretes,2014-09-09 21:48:05.388393,2014-09-10 04:56:11.888741,,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Status_iucn3.1_NT.svg/220px-Status_iucn3.1_NT.svg.png
17,10,Aeromys,2014-09-09 21:48:05.860402,2014-09-10 04:56:11.909715,,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/PteromysTephromelasWolf.jpg/220px-PteromysTephromelasWolf.jpg
18,10,Aethalops,2014-09-09 21:48:07.187694,2014-09-10 04:56:11.934456,,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Status_iucn3.1_LC.svg/220px-Status_iucn3.1_LC.svg.png
